Codi,(km2)
250019,78.27
80018,19.94
250024,160.57
250030,79.65
80023,43.32
170010,27.73
80142,7.9
430017,72.95
170025,13.92
250387,66.9
250045,20.53
250058,57.67
250061,25.7
170031,94.39
250077,10.46
250083,37.61
250096,32.54
430022,19.37
430038,20.34
170046,11.13
430043,47.07
250100,21.03
250117,114.29
250122,16.7
430056,46
439044,35.21
430069,20.2
430075,26.1
80039,9.58
430081,63.87
250138,11.4
250143,31.94
430094,38.24
250156,54.32
250169,50.11
250175,183.19
430108,7.25
250194,49.03
250208,56.83
250215,66.59
430115,5.96
250220,69.08
170062,44.29
80044,13.8
250236,15.33
250241,217.76
430120,6.95
170078,40.08
430136,66.86
80057,14.24
439060,35.65
430141,138.31
170084,16.31
250273,23.53
250292,58.34
430167,14.13
430154,20.78
170097,86.22
80060,6.75
80076,21.29
170101,12.54
80082,47.09
430173,10.12
80095,25.4
170118,5.6
430189,42.97
250313,11.57
250328,10.59
80109,17.87
250334,23.94
250349,175.9
430192,73.63
250365,10.21
250371,102.96
80116,27.23
80121,63.23
170123,12.3
80137,29.13
80155,21.18
89045,0.93
80168,43.13
250390,129.41
250404,57.32
80174,17.37
80180,36.91
430206,12.19
170157,11.05
250411,7.56
430213,26.6
82520,8.31
80193,101.35
250426,145.08
170160,17.5
250447,70.25
430228,128.41
250450,17.72
80207,50.44
170139,20.66
250463,15.69
251706,17.14
170182,12.64
250479,31.38
250485,34.92
250498,5.11
430234,8.86
80214,30.97
250501,34.98
430249,8.27
250518,98.15
250523,46.7
250539,7.43
430252,62.42
430265,23.06
80229,22.57
170195,4.93
170209,35.92
170216,35.91
80235,28.64
250557,66.21
170221,20.62
430271,14.14
430287,32.54
172348,10.02
430290,14.48
170237,17.66
170293,10.78
170242,10.34
430304,24.97
250576,21.44
170255,7.32
250582,61.55
430311,8.24
170268,9.45
80240,43.45
250595,28.17
430326,34.94
430332,11.95
250560,31.12
430347,6.42
170274,5.02
80253,47.2
80266,41.03
170280,36.82
430350,31.27
250609,14.16
170314,55.58
170307,15.02
80272,1.15
250616,80.33
430363,26.95
80288,17
80291,8.98
80305,7.05
170329,26.43
80312,9.22
430379,20.38
80348,33.09
80327,0.88
170335,57.33
80333,37.45
80351,8
80370,5.8
80386,12.5
80364,37.15
170340,33.57
250621,157.13
439039,25.16
430385,35.21
170353,15.66
170366,32.62
170372,18.64
80399,7.29
170388,8.59
170391,103.38
250637,48.32
170405,44.41
80403,5.56
439076,7.32
80410,6.66
80425,29.19
170412,19.62
80431,14.23
430398,13.35
430402,22.49
80446,2.94
170427,26.4
80459,34.13
80462,12.1
80478,66.7
80484,11.68
430419,42.9
170448,45.21
80497,29.46
80575,24.35
259046,62.42
250642,60.19
80522,47.12
80500,32.74
80517,44.91
80538,28.47
80543,31.03
80556,34.18
250674,65.1
80569,12.87
80581,47.48
170464,0.73
80608,26.21
80594,58.9
80615,17.21
80620,29.16
250680,16.11
170470,42.3
250693,52.62
80636,25.28
170486,21.75
250707,15.84
80641,31.9
430424,5.21
80654,28.4
80667,16.38
430430,26.43
250714,42.19
171899,14.63
170499,19.53
80673,15.18
82687,47.35
82665,30.56
80689,24.1
250729,55.19
250735,34.2
170502,9.9
170519,25.55
250740,17.03
250753,40.78
250766,17.51
170545,24.35
250772,151.41
80692,18.07
430458,14.48
80706,15.06
170558,4.35
251636,60.62
251615,166.48
430461,29.02
430477,30.87
80713,18.66
430483,53.09
80728,18.41
250788,21.01
170577,16.29
80734,6.99
170561,27.71
430496,63.5
430509,10.46
170583,11.38
179011,99.84
80749,13.49
250791,39.17
430516,9.74
170600,34.93
170617,14.58
439018,107.44
80752,40.73
430537,13.58
170622,16.31
80765,27.4
170638,17.43
250812,21.53
430542,56.97
80771,4.6
170643,43.55
170656,16.06
250827,97.3
80787,35.46
82541,61.8
250886,21.16
80790,10.25
250851,20.99
250864,8.49
250870,16.55
430555,31.62
170059,9
250899,61.87
430568,56.52
430574,16.08
81347,14.99
80804,29.31
259084,101.8
430580,18.69
170669,19.3
430593,22.72
170675,6.53
430607,116.9
250925,5.46
80826,32.12
80811,39.72
170681,18.8
80832,10.47
250931,5.43
80847,51.67
170694,28.65
170708,9.28
170715,17.28
80850,37.42
250946,28.55
179026,50.63
430614,16.03
170736,11.86
170741,10.76
80863,29.14
430629,17.59
250962,11.05
250978,16.18
80902,39.48
430635,27.47
80879,16.33
430640,71.15
430653,52.37
430666,3.07
80885,18.8
170754,19.89
170767,9.4
170773,21.01
80898,30.75
250984,90.9
80919,26.69
170789,33.38
259123,55.84
430672,15.84
170792,39.12
80924,6.78
80930,36.47
430688,33.62
250997,16.62
170806,43.26
251001,56.29
80945,6.52
251018,88.7
80958,23.73
251023,38.51
80961,14.87
251039,24.35
251057,20.47
251044,16.3
430691,13.52
80977,23.29
170813,9.02
80996,61.73
430705,12.14
170828,22.02
251095,25.76
259031,108.42
251109,18.1
251116,66.44
81000,51.57
430712,118.99
81017,12.4
81629,33.49
170834,3.39
81022,8.11
251155,139.37
170849,10.81
251137,24.32
251121,27.14
251142,15.36
170852,6.64
170865,56.93
81038,30.9
259101,68.16
170871,8.36
251180,76.49
251193,47.33
251214,23.45
251229,28.66
81043,52.23
170887,13.5
251235,146.98
251240,128.03
81056,3.03
170890,76.38
